precision,recall
0.0016741268107003137,1.0
0.001674156313331571,1.0
0.0016741858170026787,1.0
0.0016742153217136917,1.0
0.0016742448274646646,1.0
0.0016742743342556528,1.0
0.0016743038420867114,1.0
0.001674333350957895,1.0
0.0016743628608692587,1.0
0.0016743923718208575,1.0
0.0016744218838127467,1.0
0.0016744513968449811,1.0
0.0016744809109176155,1.0
0.0016745104260307052,1.0
0.0016745399421843052,1.0
0.0016745694593784703,1.0
0.0016745989776132558,1.0
0.0016746284968887164,1.0
0.0016746580172049077,1.0
0.0016746875385618841,1.0
0.001674717060959701,1.0
0.0016747465843984133,1.0
0.0016747761088780763,1.0
0.0016748056343987448,1.0
0.0016748351609604739,1.0
0.0016748646885633186,1.0
0.0016748942172073343,1.0
0.0016749237468925756,1.0
0.001674953277619098,1.0
0.0016749828093869563,1.0
0.0016750123421962056,1.0
0.0016750418760469012,1.0
0.0016750714109390978,1.0
0.001675100946872851,1.0
0.0016751304838482156,1.0
0.0016751600218652466,1.0
0.0016751895609239992,1.0
0.0016752191010245287,1.0
0.00167524864216689,1.0
0.0016752781843511384,1.0
0.0016753077275773287,1.0
0.0016753372718455162,1.0
0.0016753668171557562,1.0
0.0016753963635081036,1.0
0.0016754259109026137,1.0
0.0016754554593393415,1.0
0.001675485008818342,1.0
0.0016755145593396708,1.0
0.0016755441109033828,1.0
0.0016755736635095332,1.0
0.001675603217158177,1.0
0.0016756327718493694,1.0
0.0016756623275831657,1.0
0.0016756918843596211,1.0
0.0016757214421787906,1.0
0.0016757510010407296,1.0
0.001675780560945493,1.0
0.0016758101218931362,1.0
0.0016758396838837143,1.0
0.0016758692469172826,1.0
0.0016758988109938963,1.0
0.0016759283761136102,1.0
0.0016759579422764802,1.0
0.0016759875094825608,1.0
0.0016760170777319078,1.0
0.001676046647024576,1.0
0.0016760762173606211,1.0
0.0016761057887400978,1.0
0.0016761353611630615,1.0
0.0016761649346295675,1.0
0.0016761945091396712,1.0
0.0016762240846934274,1.0
0.0016762536612908918,1.0
0.0016762832389321193,1.0
0.0016763128176171655,1.0
0.0016763423973460852,1.0
0.0016763719781189342,1.0
0.0016764015599357673,1.0
0.0016764311427966401,1.0
0.0016764607267016076,1.0
0.0016764903116507253,1.0
0.0016765198976440483,1.0
0.0016765494846816321,1.0
0.0016765790727635318,1.0
0.0016766086618898027,1.0
0.0016766382520605001,1.0
0.0016766678432756795,1.0
0.001676697435535396,1.0
0.001676727028839705,1.0
0.0016767566231886616,1.0
0.0016767862185823213,1.0
0.0016768158150207396,1.0
0.0016768454125039715,1.0
0.0016768750110320724,1.0
0.0016769046106050978,1.0
0.001676934211223103,1.0
0.001676963812886143,1.0
0.0016769934155942735,1.0
0.0016770230193475497,1.0
0.0016770526241460272,1.0
0.001677082229989761,1.0
0.0016771118368788065,1.0
0.0016771414448132195,1.0
0.0016771710537930547,1.0
0.001677200663818368,1.0
0.0016772302748892145,1.0
0.0016772598870056497,1.0
0.0016772895001677288,1.0
0.0016773191143755076,1.0
0.0016773487296290412,1.0
0.0016773783459283849,1.0
0.001677407963273594,1.0
0.0016774375816647244,1.0
0.0016774672011018311,1.0
0.0016774968215849697,1.0
0.0016775264431141954,1.0
0.0016775560656895638,1.0
0.0016775856893111304,1.0
0.0016776153139789504,1.0
0.0016776449396930793,1.0
0.0016776745664535725,1.0
0.0016777041942604856,1.0
0.001677733823113874,1.0
0.001677763453013793,1.0
0.001677793083960298,1.0
0.0016778227159534448,1.0
0.0016778523489932886,1.0
0.0016778819830798848,1.0
0.001677911618213289,1.0
0.0016779412543935566,1.0
0.0016779708916207431,1.0
0.0016780005298949042,1.0
0.001678030169216095,1.0
0.001678059809584371,1.0
0.001678089450999788,1.0
0.0016781190934624013,1.0
0.0016781487369722664,1.0
0.0016781783815294387,1.0
0.001678208027133974,1.0
0.0016782376737859276,1.0
0.0016782673214853548,1.0
0.0016782969702323117,1.0
0.0016783266200268532,1.0
0.0016783562708690353,1.0
0.001678385922758913,1.0
0.0016784155756965425,1.0
0.0016784452296819787,1.0
0.0016784748847152777,1.0
0.0016785045407964945,1.0
0.0016785341979256851,1.0
0.0016785638561029048,1.0
0.0016785935153282093,1.0
0.0016786231756016538,1.0
0.0016786528369232944,1.0
0.0016786824992931864,1.0
0.0016787121627113851,1.0
0.0016787418271779467,1.0
0.001678771492692926,1.0
0.0016788011592563795,1.0
0.001678830826868362,1.0
0.0016788604955289294,1.0
